time,dive_name,CAO01,PH21,PH75,PD03,CAO02,PD08,PH10,CAO46,PH07,PH53,CAO21,P13,PH24,PH39,PH27,CAH30,CAO07,CAH04,PH13,CAO04,CAO10,PH32,CAO11,PD10,CAO13,PH33,P14,CAO14,CAO16,PH15,CAO17,PH82,PH48,PH51,PH34,PH35,PH36,PH40,PH41,PH43,CAO47,CAO19,CAO20,CAO05,PH45,PH47,PH71,PH49,CAO22,PD11,CAO45,PH69,PD22,CAH23,PH70,PD12,PH78,CAO23,CAO25,PH52,CAO48,CAH08,PH55,PD14,PH58,CAO27,CAH09,CAO28,P10,CAO49,PH59,CAH18,CAO29,CAO31,CAO30,CA01,CAO39,CAO41,PD17,CAH37,CAO33,CAH22,P07,CAO34,PH61,CAH15,P08,CAO35,CAO36,CAO37,CAO38,PH63,CAO42,CAO43,CAH20,CAH27,CAH33,PH74,CAO53,PH73,CAH34,CAO60,CAH21,CAO54,PH77,CAO56,CAO55,CAO61,PH64,CAH35,CAH36,PH66,lat,lon,oxygen,depth,temp
2021/07/06 14:31:39,EX2104_Dive03 Hopscotch Seamount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676155,-52.995053,8.1204,2640.7648,3.207
2021/07/06 14:35:13,EX2104_Dive03 Hopscotch Seamount,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676313,-52.994933,8.13797,2638.1667,3.209
2021/07/06 14:41:21,EX2104_Dive03 Hopscotch Seamount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.67612,-52.994836,8.10687,2631.3228,3.21351
2021/07/06 14:42:55,EX2104_Dive03 Hopscotch Seamount,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676134,-52.994796,8.09517,2630.3232,3.21173
2021/07/06 14:48:16,EX2104_Dive03 Hopscotch Seamount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676044,-52.994699,8.10843,2624.3701,3.23266
2021/07/06 14:51:01,EX2104_Dive03 Hopscotch Seamount,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676339,-52.994522,8.1431,2618.3728,3.23255
2021/07/06 15:07:41,EX2104_Dive03 Hopscotch Seamount,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676204,-52.994506,8.10726,2617.3756,3.23065
2021/07/06 15:11:14,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676374,-52.994449,8.10171,2615.9784,3.21368
2021/07/06 15:15:10,EX2104_Dive03 Hopscotch Seamount,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676205,-52.994418,8.09084,2612.2854,3.21641
2021/07/06 15:19:16,EX2104_Dive03 Hopscotch Seamount,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.67638,-52.99448,8.08256,2611.1165,3.23205
