Morphotype,Kingdom,Phylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Subspecies
CA01,Animalia,Cnidaria,Anthozoa,,,,,,,,,
CAO14,Animalia,Cnidaria,Anthozoa,Octocorallia,,,,,,,,
CAO53,Animalia,Cnidaria,Anthozoa,Octocorallia,,,,,,,,
CAO43,Animalia,Cnidaria,Anthozoa,Octocorallia,,,,,,,,
CAO60,Animalia,Cnidaria,Anthozoa,Octocorallia,,,,,,,,
CAO33,Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Plexuridae,,,,,
CAO34,Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Plexauridae,,,,,
CAO61,Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Plexauridae,,Swiftia,,,
CAO36,Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Paramuriceidae,,Acanthogorgia,,,
CAO01,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Umbellulidae,,Umbellula,,,
CAO21,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,,,,,
CAO05,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,,,,,
CAO02,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,,Lepdisis,,,
CAO45,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,,,,,
CAO04,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,,,,,
CAO13,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,Keratoisidinae,Eknomisis,,,
CAO46,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,Keratoisidinae,J-clade,J,,
CAO22,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,Keratoisidinae,J-clade,J3,,
CAO28,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Keratoisididae,Keratoisidinae,Acanella,,,
CAO37,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Coralliidae,,,,,
CAO35,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Coralliidae,,,,,
CAO19,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Coralliidae,,,,,
CAO55,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Coralliidae,,,,,
CAO07,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Coralliidae,,Hemicorallium,,,
CAO38,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Coralliidae,,cf. Paragorgia,,,
CAO10,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Coralliidae,Anthomastinae,,,,
CAO48,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Chrysogorgiidae ,,,,,
CAO49,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Chrysogorgiidae ,,,,,
CAO27,Animalia,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Chrysogorgiidae ,,Chrysogorgia,,,
